keys,pt,en
finale-event_computer,"Você não desligou o computador em que estava jogando antes de sair, um raio cosmico atingiu os circuitos causando um glitch tão absurdo no jogo que causou uma falha na matrix",You didn’t turn off your computer before leaving… A cosmic ray hit your computer and caused a glitch so massive in your game that it caused a glitch in the matrix…
finale-event_map,"Você não escondeu o seu mapa para o tesouro antigo de GUADALAPELAJANEMAPENAPEMATALUPE, um bandido roubou e coletou o artefato, liberando aspargas do egito no mundo.","You didn’t hide your map to the ancient treasure of  GUADALAPELAJANEMAPENAPEMATALUPE… A bandit has stolen it and collected the artifact, unleashing the aspargus of the Egypt in the world…"
finale-event_journal,"Você não queimou seus diários contendo os segredos do universo, a humanidade leu os segredos e se tornou uma raça super-avançada de gênios… o mundo colapsou com o peso de suas cabeças…",You didn’t burn your journals containing the secrets of the universe… Humanity has read your secrets and became a super-advance race of geniuses… The world has collapsed with the weight of their heads…
finale-event_trash,"Você não tirou o lixo de casa, ele transbordou e consumiu a terra",You didn’t take the trash out… It has overflown and consumed the Earth…
finale-event_pills,"Apesar de todos os seus esforços, a terra ainda explodiu, tudo parece surreal.[br]Na próxima tente lembrar de tomar seus remédios, quem sabe eles te deixam mais calmo…","Despite all of your efforts, the Earth still exploded, it all seems so surreal.[br]Next time try to remember to take your pills… Who knows? Maybe they can make you a little calmer…"
finale-event_true-ending,Você tomou seus remédios e lembrou… Você não é um astronauta… E a Terra não explodiu… Quem diria que se medicar ajuda?,You took your pills and remembered… You’re not an astronaut… And the Earth hasn’t exploded… Who knew getting medicated would help?
interaction_car,Ir trabalhar..?,Go to work..?
interaction_oven-off,Desligar forno?,Turn the oven off?
response_oven-off,Imagina se eu esqueço de desligar o forno?,Could you imagine what would happen if I left the oven on?
interaction_oven-on,Ligar forno?,Turn the oven on?
response_oven-on,E… ligado! Só que não…,And… on! NOT
interaction_backpack_pickup,Pegar mochila?,Take backpack?
response_backpack_pickup,Meio pesada… não?,Kinda heavy… right?
interaction_glasses,Pegar óculos?,Take glasses?
response_glasses,Agora eu posso ver melhor!,Now I can see better!
interaction_washing-machine,Tirar roupas da máquina?,Take clothes out of the washing machine?
response_washing-machine,Tudo molhado…,It’s all wet…
interaction_washing-machine_empty,Olhar para a máquina de lavar?,Look at the washing machine?
response_washing-machine_empty,Ah sim… bela máquina de lavar…,Ah yes… what a nice washing machine…
interaction_dryer_no-clothes,Olhar para a secadora?,Look at the dryer?
response_dryer_no-clothes,Sabia que ela pode secar roupas?,Did you know it can dry clothes?
interaction_dryer_with-clothes,Colocar roupas na secadora?,Place clothes in the dryer?
response_dryer_with-clothes,Com certeza não vão mofar agora,They won’t get moldy now
interaction_dryer_full,Olhar para a secadora..?,Look at the dryer..?
response_dryer_full,Parece que há roupas na secadora… Extraordinário…,Looks like there are clothes in the dryer… Extraordinary…
interaction_cat,Fazer carinho no gato?,Pet the cat?
response_cat,miau.,meow.
interaction_key,Pegar chave?,Take keys?
response_key,Hmmm…. metal…,Hmmm… metal…
interaction_closed-door_unlocked,Abrir porta?,Open door?
interaction_closed-door_locked,Abrir porta..?,Open door..?
response_closed-door_locked,Porta trancada :(,Locked door :(
interaction_open-door,Fechar porta?,Close door?
interaction_open-door_with-keys,Fechar porta e trancar?,Close and lock door?
response_copen-door_with-keys,Agora sim minha casa está segura!,Now my house is safe!
interaction_documents_pickup,Pegar documentos?,Pickup documents?
response_documents_pickup,Burocracia de outro mundo…,Burocracy from other world…
interaction_computer_no-docs,Desligar computador?,Turn off computer?
response_computer_no-docs,Salvando energia!,Saving power!
interaction_computer-off,Olhar pro computador?,Look at computer?
response_computer-off,Quem teve a ideia de fazer as pedras pensarem?,Who had the idea to make rocks think?
interaction_computer_with-docs,Escanear documentos?,Scan docs?
response_computer_with-docs,Paz na galáxia,Peace in the galaxy
interaction_planks_pickup,Pegar tábuas de madeira?,Pickup wooden planks?
response_planks_pickup,MADEIRA,WOOD
interaction_basement-door_with-planks,Colocar tabuas na frente da porta?,Place planks in front of the door?
response_basement-door_with-planks,Ok..?,Ok..?
interaction_basement-door_planks-in-front,Olhar para a porta do porão?,Look at the basement door?
response_basement-door_planks-in-front,Não parece muito seguro…,Doesn’t seem very safe…
interaction_basement-door_with-planks_with-hammer,Travar porta com tabuas?,Block door with planks?
response_basement-door_with-planks_with-hammer,Agora sim a criatura não sai!,Now the creature won’t leave!
interaction_basement-door-blocked,Olhar para a porta do porão?,Look at the basement door?
response_basement-door_locked,Bem seguro.,Very safe.
interaction_magnet_no-hammer,Olhar pro super imã?,Look at super magnet?
response_magnet_no-hammer,Dispositivo super interessante.,Very interesting device.
interaction_magnet_with-hammer,Quebrar super imã?,Break super magnet?
response_magnet_with-hammer,clank clank clank,clank clank clank
interaction_cellphone,Responder bom dia da sua mãe?,Answer mom’s good morning text?
response_cellphone,Parece que você vive mais um dia…,Looks like you will live one more day…
interaction_map_pickup,Pegar mapa?,Pickup map?
response_map_pickup,Dr. Jones… Nos encontramos de novo..,"We meet again, Dr. Jones"
interaction_closed-box,Abrir caixa?,Open box?
response_closed-box,E dentro há… Nada…,And inside there’s… Nothing really…
interaction_open-box_no-map,Fechar caixa?,Close box?
response_open-box_no-map,Melhor uma caixa fechada do que segredos revelados…,Better to have a closed box than revealed secrets…
interaction_open-box_with-map,Esconder mapa?,Hide map?
response_open-box_with-map,Agora ninguém vai achar…,Now no one will find it…
interaction_locked-box,Olhar para esconderijo do mapa?,Look at super secret map hideout?
response_locked-box,Definitivamente não tem nada de importante aí…,Definitely there’s nothing important there…
interaction_journal_pickup,Pegar diários?,Pickup journals?
response_journal_pickup,Os segredos do universo…,The secrets of the universe…
interaction_oven_with-journal,Queimar diário?,Burn journals?
response_oven-with-journal,QUEIMA QUEIMA QUEIMA,BURN BURN BURN
interaction_trash_pickup,Pegar lixo?,Pickup trash?
response_trash_pickup,Eca,Ew
interaction_dumpster_no-trash,Olhar para a caçamba?,Look at the dumpster?
response_dumpster_no-trash,Meio vazia… não?,Kinda empty… right?
interaction_dumpster_with-trash,Jogar lixo?,Throw trash?
response_dumpster_with-trash,Você sente a imensa alegria de um trabalho bem feito…,You feel the immense joy of a job well done…
interaction_filled-dumpster,Sentir o cheiro?,Smell it?
response_filled-dumpster,Cheira mal…,Smells bad…
interaction_pills,Tomar remédios?,Take medication?
menu_ending-title_doom,[b]A TERRA ENCONTROU SEU FIM[/b],[b]EARTH HAS MET ITS DOOM[/b]
menu_ending-reset,Pressione [b]<R>[/b] para tentar novamente,Press [b]<R>[/b] to try again
